_id/$oid,bestsellers_date/$date/$numberLong,published_date/$date/$numberLong,amazon_product_url,author,description,price/$numberInt,publisher,title,rank/$numberInt,rank_last_week/$numberInt,weeks_on_list/$numberInt,price/$numberDouble
5b4aa4ead3089013507dd10a,1455321600000,1456617600000,http://www.amazon.com/Find-Her-Lisa-Gardner/dp/0525954570?tag=NYTBS-20,Lisa Gardner,The Boston detective D. D. Warren hunts for a missing woman who was kidnapped and abused as a college student and may have become a vigilante.,0,Dutton,FIND HER,4,0,1,
5b4aa4ead3089013507dd10b,1455321600000,1456617600000,http://www.amazon.com/All-Light-We-Cannot-See/dp/1476746583?tag=NYTBS-20,Anthony Doerr,The lives of a blind French girl and a gadget-obsessed German boy before and during World War II.  ,0,Scribner,ALL THE LIGHT WE CANNOT SEE,5,3,93,
5b4aa4ead3089013507dd10c,1455321600000,1456617600000,http://www.amazon.com/The-Girl-Train-A-Novel-ebook/dp/B00L9B7IKE?tag=NYTBS-20,Paula Hawkins,A psychological thriller set in the environs of London.,0,Riverhead,THE GIRL ON THE TRAIN,6,5,57,
5b4aa4ead3089013507dd10d,1455321600000,1456617600000,http://www.amazon.com/My-Name-Is-Lucy-Barton-ebook/dp/B011G3HG5G?tag=NYTBS-20,Elizabeth Strout,A woman struggles with memories of her impoverished and disturbing childhood and its effect on the present as she attempts to reconcile with her mother.,0,Random House,MY NAME IS LUCY BARTON,7,4,5,
5b4aa4ead3089013507dd10e,1455321600000,1456617600000,http://www.amazon.com/The-Nightingale-Kristin-Hannah/dp/0312577222?tag=NYTBS-20,Kristin Hannah,"Two sisters in World War II France: one struggling to survive in the countryside, the other joining the Resistance in Paris.",0,St. Martin's,THE NIGHTINGALE,8,7,50,
5b4aa4ead3089013507dd10f,1455321600000,1456617600000,http://www.amazon.com/Blue-A-Novel-Danielle-Steel/dp/0345531051?tag=NYTBS-20,Danielle Steel,A woman whose life has been shattered befriends a homeless boy.,0,Delacorte,BLUE,9,8,4,
5b4aa4ead3089013507dd110,1455321600000,1456617600000,http://www.amazon.com/Breakdown-An-Alex-Delaware-Novel/dp/0345541405?tag=NYTBS-20,Jonathan Kellerman,The psychologist Alex Delaware and the L.A.P.D. Lt. Milo Sturgis search for the missing son of a troubled actress.,0,Ballantine,BREAKDOWN,10,6,2,
5b4aa4ead3089013507dd111,1455321600000,1456617600000,http://www.amazon.com/Rogue-Lawyer-John-Grisham-ebook/dp/B00UEKRTW8?tag=NYTBS-20,John Grisham,The attorney Sebastian Rudd is a “lone gunman” who hates injustice and the system and defends unpopular clients.,0,Doubleday,ROGUE LAWYER,11,9,17,
5b4aa4ead3089013507dd112,1455321600000,1456617600000,http://www.amazon.com/See-Me-Nicholas-Sparks/dp/1455520616?tag=NYTBS-20,Nicholas Sparks,A couple in love are threatened by secrets from the past.,0,Grand Central,SEE ME,12,15,18,
5b4aa4ead3089013507dd113,1455321600000,1456617600000,http://www.amazon.com/The-Swans-Fifth-Avenue-Novel-ebook/dp/B00X2F109A?tag=NYTBS-20,Melanie Benjamin,"A novel based on the friendship between Truman Capote and Babe Paley and her coterie, which began in the 1950s and ended 20 years later in scandal.",0,Delacorte,THE SWANS OF FIFTH AVENUE,13,11,3,
5b4aa4ead3089013507dd114,1455321600000,1456617600000,http://www.amazon.com/The-Wolves-John-Wells-Novel/dp/0399176144?tag=NYTBS-20,Alex Berenson,"In the 10th thriller featuring the former C.I.A. agent John Wells, Wells sets out to kill the American billionaire who tried to trick the United States into invading Iran (in “Twelve Days”), but the Russians and Chinese become involved.",0,Putnam,THE WOLVES,14,0,1,
5b4aa4ead3089013507dd115,1455321600000,1456617600000,http://www.amazon.com/The-Force-Awakens-Star-Wars/dp/1101965495?tag=NYTBS-20,Alan Dean Foster,A new threat arises; an adaptation of the screenplay of the new “Star Wars” movie.,0,Del Rey,THE FORCE AWAKENS,15,10,6,
5b4aa4ead3089013507dd116,1455321600000,1456617600000,http://www.amazon.com/After-You-Novel-Jojo-Moyes/dp/0525426590?tag=NYTBS-20,Jojo Moyes,"In a sequel to “Me Before You,” Louisa Clark tries to put her life back together after the death of Will Traynor.",0,Pamela Dorman/Viking,AFTER YOU,16,0,0,
5b4aa4ead3089013507dd117,1455321600000,1456617600000,http://www.amazon.com/The-Bazaar-Bad-Dreams-Stories-ebook/dp/B00UDCI1AG?tag=NYTBS-20,Stephen King,"Twenty short stories, some never before published.",0,Scribner,THE BAZAAR OF BAD DREAMS,17,0,0,
5b4aa4ead3089013507dd118,1455321600000,1456617600000,http://www.amazon.com/Go-Set-Watchman-A-Novel/dp/0062409859?tag=NYTBS-20,Harper Lee,"In the mid-1950s, a grown-up Jean Louise Finch returns to Maycomb and realizes that her adored father is a racist.",0,Harper,GO SET A WATCHMAN,18,0,0,
5b4aa4ead3089013507dd119,1455321600000,1456617600000,http://www.amazon.com/Fates-Furies-Novel-Lauren-Groff/dp/1594634475?tag=NYTBS-20,Lauren Groff,"The story of a marriage, and of the personal tragedies that govern it, is told from each spouse’s perspective, with inspiration from classical themes.",0,Riverhead,FATES AND FURIES,19,0,0,
5b4aa4ead3089013507dd11a,1455321600000,1456617600000,http://www.amazon.com/The-High-Mountains-Portugal-Novel/dp/0812997174?tag=NYTBS-20,Yann Martel,,0,Spiegel & Grau,THE HIGH MOUNTAINS OF PORTUGAL,20,0,0,
5b4aa4ead3089013507dd11b,1455926400000,1457222400000,http://www.amazon.com/Cometh-Hour-Novel-Clifton-Chronicles-ebook/dp/B00YWZU0MC?tag=NYTBS-20,Jeffrey Archer,The sixth and penultimate book of the Clifton Chronicles brings the Cliftons and the Barringtons into the 1970s.,0,St. Martin's,COMETH THE HOUR,1,0,1,
5b4aa4ead3089013507dd11c,1455926400000,1457222400000,http://www.amazon.com/All-Light-We-Cannot-See/dp/1476746583?tag=NYTBS-20,Anthony Doerr,The lives of a blind French girl and a gadget-obsessed German boy before and during World War II.  ,0,Scribner,ALL THE LIGHT WE CANNOT SEE,2,5,94,
5b4aa4ead3089013507dd11d,1455926400000,1457222400000,http://www.amazon.com/The-Girl-Train-A-Novel-ebook/dp/B00L9B7IKE?tag=NYTBS-20,Paula Hawkins,A psychological thriller set in the environs of London.,0,Riverhead,THE GIRL ON THE TRAIN,3,6,58,
5b4aa4ead3089013507dd11e,1455926400000,1457222400000,http://www.amazon.com/The-Nightingale-Kristin-Hannah/dp/0312577222?tag=NYTBS-20,Kristin Hannah,"Two sisters in World War II France: one struggling to survive in the countryside, the other joining the Resistance in Paris.",0,St. Martin's,THE NIGHTINGALE,4,8,51,
5b4aa4ead3089013507dd11f,1455926400000,1457222400000,http://www.amazon.com/Brotherhood-Death-J-D-Robb/dp/0399170898?tag=NYTBS-20,J D Robb,"Lt. Eve Dallas of the N.Y.P.D. helps a friend and her husband solve a mystery involving politics and real estate; by Nora Roberts, writing pseudonymously.",0,Berkley,BROTHERHOOD IN DEATH,5,2,3,
5b4aa4ead3089013507dd120,1455926400000,1457222400000,http://www.amazon.com/NYPD-Red-4-James-Patterson/dp/0316407062?tag=NYTBS-20,James Patterson and Marshall Karp,"Detective Zach Jordan and his partner, members of an elite task force that protects the rich and famous, pursue a cold-blooded killer.",0,"Little, Brown",NYPD RED 4,6,3,4,
5b4aa4ead3089013507dd121,1455926400000,1457222400000,http://www.amazon.com/Find-Her-Lisa-Gardner/dp/0525954570?tag=NYTBS-20,Lisa Gardner,The Boston detective D. D. Warren hunts for a missing woman who was kidnapped and abused as a college student and may have become a vigilante.,0,Dutton,FIND HER,7,4,2,
5b4aa4ead3089013507dd122,1455926400000,1457222400000,http://www.amazon.com/My-Name-Is-Lucy-Barton-ebook/dp/B011G3HG5G?tag=NYTBS-20,Elizabeth Strout,A woman struggles with memories of her impoverished and disturbing childhood and its effect on the present as she attempts to reconcile with her mother.,0,Random House,MY NAME IS LUCY BARTON,8,7,6,
5b4aa4ead3089013507dd123,1455926400000,1457222400000,http://www.amazon.com/Go-Set-Watchman-A-Novel/dp/0062409859?tag=NYTBS-20,Harper Lee,"In the mid-1950s, a grown-up Jean Louise Finch returns home to find that her adored father is not as perfect as she believed.",0,Harper,GO SET A WATCHMAN,9,0,30,
5b4aa4ead3089013507dd124,1455926400000,1457222400000,http://www.amazon.com/Rogue-Lawyer-John-Grisham-ebook/dp/B00UEKRTW8?tag=NYTBS-20,John Grisham,The attorney Sebastian Rudd is a “lone gunman” who hates injustice and the system and defends unpopular clients.,0,Doubleday,ROGUE LAWYER,10,11,18,
5b4aa4ead3089013507dd125,1455926400000,1457222400000,http://www.amazon.com/Morning-Star-Book-Rising-Trilogy-ebook/dp/B00SPVPX2G?tag=NYTBS-20,Pierce Brown,"In Book 3 of the Red Rising trilogy, set in a dystopian future, Darrow incites a rebellion.",0,Del Rey,MORNING STAR,11,1,2,
5b4aa4ead3089013507dd126,1455926400000,1457222400000,http://www.amazon.com/The-Widow-Fiona-Barton-ebook/dp/B00Z8VT8AE?tag=NYTBS-20,Fiona Barton,"When a suspect in a missing-child case dies, reporters and the police think they’ll get the real story from his widow. They’re wrong.",0,New American Library,THE WIDOW,12,0,1,
5b4aa4ead3089013507dd127,1455926400000,1457222400000,http://www.amazon.com/The-Swans-Fifth-Avenue-Novel-ebook/dp/B00X2F109A?tag=NYTBS-20,Melanie Benjamin,"A novel based on the friendship between Truman Capote and Babe Paley and her coterie, which began in the 1950s and ended 20 years later in scandal.",0,Delacorte,THE SWANS OF FIFTH AVENUE,13,13,4,
